,0,1,2,3,4,frXle,fre_pct,grade
世,260,3,3.25,143,3.146853146853146,37180,0.7103634138802678,1
帮,260,1,3.049999999999998,143,3.048951048951048,37180,0.7109138485119212,1
鼠,432,1,3.04861111111111,86,2.767441860465116,37152,0.711828416822976,1
接,229,1,3.375545851528383,162,3.333333333333333,37098,0.7123132227100861,1
神,280,3,3.339285714285715,132,3.287878787878788,36960,0.7129059984672512,1
哇,252,2,3.087301587301587,146,3.020547945205479,36792,0.7134394966486999,1
北,303,1,3.151815181518153,121,2.9090909090909083,36663,0.7140809647002037,1
非,224,2,3.071428571428571,162,3.123456790123457,36288,0.7145551853059358,1
音,261,1,3.245210727969347,138,3.08695652173913,36018,0.7151077369938648,1
掉,248,1,3.012096774193547,145,3.082758620689655,35960,0.715632766950211,1
结,235,1,3.23404255319149,153,3.189542483660131,35955,0.7161302751749747,1
完,220,1,3.159090909090908,163,3.153374233128834,35860,0.7165960275556045,1
相,231,2,3.298701298701298,155,3.264516129032258,35805,0.7170850675552658,1
彩,253,1,2.877470355731225,139,2.841726618705036,35167,0.71762068279299,1
飘,246,1,2.934959349593497,141,2.900709219858155,34686,0.7181414786367851,1
百,253,1,3.288537549407114,137,3.262773722627737,34661,0.7186770938745094,1
千,249,1,3.200803212851404,139,3.043165467625899,34611,0.7192042408871313,1
加,226,1,3.061946902654868,153,3.130718954248366,34578,0.7196826956054145,1
刚,240,1,3.2416666666666663,142,3.169014084507042,34080,0.7201907891115562,1
立,229,1,3.096069868995633,148,3.128378378378377,33892,0.7206755949986663,1
脸,217,2,3.055299539170508,155,2.987096774193547,33635,0.7211349962104693,1
节,258,1,3.062015503875968,130,3.007692307692307,33540,0.7216811967295714,1
停,214,1,3.154205607476634,156,3.096153846153846,33384,0.7221342467725477,1
场,236,2,3.105932203389831,140,3.007142857142856,33040,0.722633872053587,1
圆,286,1,2.807692307692308,115,2.799999999999999,32890,0.7232393501484057,1
紧,243,1,3.2757201646090532,135,3.2148148148148152,32805,0.723753794823374,1
枝,236,2,3.118644067796611,139,3.0,32804,0.7242534201044132,1
极,236,2,3.275423728813559,139,3.223021582733813,32804,0.7247530453854525,1
拉,244,1,2.848360655737705,133,3.0,32452,0.7252696071166964,1
诗,279,1,3.0860215053763422,116,2.982758620689655,32364,0.725860265817586,1
服,234,1,3.072649572649573,138,3.08695652173913,32292,0.726355656986074,1
